text,intent
Where is my order?,order_status
Track my order.,order_status
Can you check my order status?,order_status
What is the status of my order?,order_status
Has my order been shipped?,order_status
Can you tell me where my parcel is?,order_status
Please track order number 12345.,order_status
Show my order status.,order_status
Is my order out for delivery?,order_status
Has my order been confirmed?,order_status
Is my order being processed?,order_status
Can you tell me my current order status?,order_status
Has my order been packed yet?,order_status
Is my order ready for shipping?,order_status
What stage is my order in?,order_status
Can I get an update on my order?,order_status
Has my purchase been processed?,order_status
Please check my order progress.,order_status
Has my order moved to the next stage?,order_status
Is my order still under processing?,order_status
Has my order been approved?,order_status
Can you update me about my order?,order_status
What is happening with my order?,order_status
Is my order waiting for dispatch?,order_status
Has my order entered shipping stage?,order_status
Can you verify my order status?,order_status
Has the seller processed my order?,order_status
What is the latest update on my order?,order_status
Is everything fine with my order?,order_status
Mere order ki current sthiti kya hai?,order_status
Kya mera order confirm ho gaya hai?,order_status
Mera order process ho raha hai kya?,order_status
Mera order ab kis stage mein hai?,order_status
Mere order ka latest status bataiye.,order_status
Kya mera order pack ho gaya hai?,order_status
Mera order dispatch ke liye ready hai kya?,order_status
Order ki processing complete hui kya?,order_status
Mera order approve hua ya nahi?,order_status
Order ke baare mein update dijiye.,order_status
Kya mera order abhi pending hai?,order_status
Order ki vartaman sthiti kya hai?,order_status
Mera order complete hua ya nahi?,order_status
Mera order kis phase mein chal raha hai?,order_status
Order ki progress bataiye.,order_status
Mera order abhi kis stage pe hai?,order_status
Order ka latest status check karo.,order_status
Mera order process hua kya?,order_status
Order confirm hua ya nahi?,order_status
Mere order ki progress batao.,order_status
Order ka current update chahiye.,order_status
Please mera order status verify karo.,order_status
Order ka processing status bata do.,order_status
Mera order pending hai kya?,order_status
Order dispatch hone wala hai kya?,order_status
Order ka recent update do.,order_status
Mera order ready hua kya?,order_status
Order complete hua ya abhi process mein hai?,order_status
Can you check mera order status?,order_status
Mujhe order ka current status batao.,order_status
Mera order kahan hai?,order_status
Mere order ka status batao.,order_status
Mera parcel track karo.,order_status
Order number 12345 ka status kya hai?,order_status
Kya mera order dispatch ho gaya?,order_status
Mujhe mera order track karna hai.,order_status
Mera package kab aayega?,order_status
Order ki current location batao.,order_status
Mera order abhi kahan pahucha hai?,order_status
Mere order ki delivery kab hogi?,order_status
Track karo mera order.,order_status
Mera order track kar do.,order_status
Order status check karo.,order_status
Please mera parcel check karo.,order_status
Mujhe order ki update chahiye.,order_status
Mera shipment kahan hai?,order_status
Can you track mera order?,order_status
Order ka latest status batao.,order_status
Parcel ka update do.,order_status
Where is my order now?,order_status
Track my latest order.,order_status
Please check where my package is.,order_status
Has my order reached the delivery center?,order_status
Can you locate my shipment?,order_status
Order tracking update please.,order_status
Where can I see my order status?,order_status
Is my parcel on the way?,order_status
Show me my latest order update.,order_status
I need the latest tracking information.,order_status
Mera order abhi kahan hai?,order_status
Order ka current status dikhao.,order_status
Parcel ki latest location batao.,order_status
Order delivery update chahiye.,order_status
Order ka live status batao.,order_status
Can you check mera parcel?,order_status
Mujhe order tracking chahiye.,order_status
Order locate karo.,order_status
Package tracking update do.,order_status
Track my shipment.,track_shipment
Where is my shipment?,track_shipment
Can you track my shipment?,track_shipment
I want to track my package.,track_shipment
Track package number 12345.,track_shipment
Show the live location of my shipment.,track_shipment
Where has my shipment reached?,track_shipment
Can I track my parcel?,track_shipment
Track my courier.,track_shipment
Where is my courier now?,track_shipment
Show my shipment details.,track_shipment
Locate my package.,track_shipment
Provide shipment tracking information.,track_shipment
Track my delivery package.,track_shipment
Give me shipment updates.,track_shipment
Where is my shipment right now?,track_shipment
Track my parcel live.,track_shipment
Show my shipment location.,track_shipment
Where is my courier currently?,track_shipment
Can you locate my package?,track_shipment
I want live tracking for my parcel.,track_shipment
Please track my courier.,track_shipment
Track my delivery vehicle.,track_shipment
Can I see my shipment location?,track_shipment
Show me the current location of my package.,track_shipment
Find my parcel.,track_shipment
Track my courier in real time.,track_shipment
Where is my package now?,track_shipment
Check my shipment location.,track_shipment
Locate my courier immediately.,track_shipment
Track this package for me.,track_shipment
Show the latest location of my shipment.,track_shipment
Where is the delivery vehicle?,track_shipment
Mera shipment kahan hai?,track_shipment
Mera parcel abhi kahan hai?,track_shipment
Meri courier ki location bataiye.,track_shipment
Mera package locate kijiye.,track_shipment
Shipment ki current location bataiye.,track_shipment
Parcel track kijiye.,track_shipment
Courier ki live location dikhaiye.,track_shipment
Mera package kis jagah hai?,track_shipment
Shipment ka live tracking dikhaiye.,track_shipment
Courier ki movement bataiye.,track_shipment
Mera parcel kis city mein hai?,track_shipment
Package ki location check kijiye.,track_shipment
Courier abhi kahan pahucha hai?,track_shipment
Shipment ki location update dijiye.,track_shipment
Mera courier locate kijiye.,track_shipment
Mera shipment track karo.,track_shipment
Mera parcel locate karo.,track_shipment
Courier ki live location batao.,track_shipment
Package kahan hai check karo.,track_shipment
Shipment ka live update do.,track_shipment
Please mera parcel track karo.,track_shipment
Courier track kar do.,track_shipment
Mera package kidhar hai?,track_shipment
Shipment ki location check karo.,track_shipment
Mera courier abhi kahan hai?,track_shipment
Track my parcel please.,track_shipment
Package ka live location dikhao.,track_shipment
Can you locate mera shipment?,track_shipment
Shipment tracking chalu karo.,track_shipment
Courier ki current location batao.,track_shipment
Mera parcel kahan hai?,track_shipment
Mera courier track karo.,track_shipment
Shipment ki location batao.,track_shipment
Mera package abhi kahan hai?,track_shipment
Mujhe shipment track karna hai.,track_shipment
Mere parcel ki live location batao.,track_shipment
Shipment number 12345 track karo.,track_shipment
Mera courier kis jagah hai?,track_shipment
Parcel ki current location batao.,track_shipment
Shipment update do.,track_shipment
Mera package locate karo.,track_shipment
Mera shipment kidhar pahucha hai?,track_shipment
Parcel ki movement dikhao.,track_shipment
Courier ki tracking information do.,track_shipment
Track karo mera shipment.,track_shipment
Mera shipment locate karo.,track_shipment
Parcel track kar do.,track_shipment
Courier ka location batao.,track_shipment
Package track karo.,track_shipment
Can you track mera shipment?,track_shipment
Shipment ka latest update do.,track_shipment
Parcel ki live location dikhao.,track_shipment
Mera courier kaha tak pahucha?,track_shipment
Shipment check karo.,track_shipment
Package ki tracking dikhao.,track_shipment
Please mera courier track karo.,track_shipment
Shipment ka status aur location batao.,track_shipment
