text,intent_count,intents
Agent se connect karo.,2,"delivery_agent_contact, speak_to_agent"
Can you check mera parcel?,2,"order_not_received, order_status"
Can you check mera payment?,2,"payment_failed, payment_status"
Color change karna hai.,2,"exchange_order, modify_order"
Delivery update do.,2,"delivery_status, reschedule_delivery"
Has my order been confirmed?,2,"order_confirmation, order_status"
Is my order out for delivery?,2,"delivery_status, order_status"
Kya mera order confirm ho gaya hai?,2,"order_confirmation, order_status"
Mera parcel abhi tak nahi aaya.,2,"delivery_delay, order_not_received"
Mera product kaam nahi kar raha.,2,"technical_support, warranty_claim"
Mera shipment kahan hai?,2,"order_status, track_shipment"
Size change karna hai.,2,"exchange_order, modify_order"
