sentence,actual_intent,predicted_intent,confidence,correct
Order number 12345 ka invoice bhejo.,invoice_request,invoice_request,31.3,True
Main apne account mein login nahi kar pa raha hoon.,login_issue,login_issue,34.09,True
Order complete hua ya abhi process mein hai?,order_status,order_status,36.33,True
I want to know my wallet balance.,wallet_balance,wallet_balance,62.67,True
Temporary account deactivate chahiye.,deactivate_account,reactivate_account,27.07,False
Order refund kar do.,refund_request,refund_request,41.18,True
gst invoice.,invoice_request,invoice_request,34.35,True
Is my delivery on the way?,delivery_status,delivery_status,35.35,True
new email.,change_email,change_email,45.5,True
Purchase this item again.,reorder_product,product_recommendation,9.41,False
Password reset email bhejo please.,reset_password,reset_password,35.3,True
Purchase history check karni hai.,order_history,order_history,14.62,True
Issue resolve hua kya?,complaint_status,product_information,11.94,False
Call me before delivery.,delivery_instructions,reschedule_delivery,33.25,False
Move my delivery to tomorrow.,reschedule_delivery,reschedule_delivery,36.2,True
Leave the parcel with my neighbor.,delivery_instructions,delivery_instructions,11.8,True
Mera deactivate account restore kar dijiye.,reactivate_account,reactivate_account,35.37,True
Package unattended mat chhodna.,delivery_instructions,delivery_instructions,14.43,True
Discount apply nahi hua.,promo_code_issue,promo_code_issue,17.49,True
Account password reset karo.,reset_password,reset_password,44.26,True
Mera account activate karne ke liye verify karo.,account_verification,reactivate_account,13.62,False
Delivery boy ko phone lagao.,delivery_agent_contact,delivery_agent_contact,8.98,True
Deliver my order on another day.,reschedule_delivery,reschedule_delivery,19.31,True
Email address replace karo.,change_email,change_email,14.01,True
Product repair karwana hai warranty mein.,warranty_claim,warranty_claim,36.63,True
Refund ki current sthiti bataiye.,refund_status,refund_status,49.36,True
Mera account temporary lock ho gaya hai.,account_locked,account_locked,58.12,True
Mera account dobara activate kar dijiye.,reactivate_account,reactivate_account,36.82,True
Can I switch my payment method?,payment_method_change,payment_method_change,25.4,True
My device won't turn on.,technical_support,technical_support,7.47,True
Too many attempts ki wajah se account lock ho gaya.,account_locked,account_locked,55.45,True
Mujhe doosri delivery date chahiye.,reschedule_delivery,reschedule_delivery,35.01,True
order not received.,order_not_received,order_not_received,9.92,True
How much cashback did I earn?,cashback_query,cashback_query,38.83,True
Mere old purchases dikhao.,order_history,reorder_product,9.24,False
Mera order re-order karo.,reorder_product,reorder_product,10.98,True
Package mein ek product nahi mila.,missing_package,product_recommendation,8.92,False
Account delete kar do.,delete_account,delete_account,14.09,True
Payment duplicate ho gaya.,duplicate_payment,payment_failed,14.59,False
Connect me to a customer support agent.,speak_to_agent,speak_to_agent,14.56,True
I want to repair my product under warranty.,warranty_claim,warranty_claim,36.5,True
Mera profile picture badal do.,profile_update,profile_update,20.74,True
Mera order confirm hua ya nahi?,order_confirmation,order_confirmation,26.49,True
Wallet mein refund aaya kya?,wallet_balance,wallet_balance,27.38,True
Order details badal do.,modify_order,order_status,20.18,False
I need a good Bluetooth speaker.,product_recommendation,product_recommendation,41.07,True
Aaj delivery hogi kya?,delivery_status,delivery_status,33.7,True
Bill ki copy bhejo.,invoice_request,reschedule_delivery,7.65,False
Mujhe mera account wapas chahiye.,reactivate_account,reactivate_account,31.8,True
Reactivate my customer account.,reactivate_account,reactivate_account,30.61,True
Item kharab hai.,damaged_package,delivery_delay,6.98,False
Promo code use nahi kar pa raha hoon.,promo_code_issue,promo_code_issue,20.49,True
Bluetooth support karta hai kya?,product_information,product_information,16.83,True
Main locked account use nahi kar pa raha.,account_locked,account_locked,56.21,True
Can I know the refund progress?,refund_status,refund_status,41.94,True
My package is missing.,order_not_received,delivery_delay,11.65,False
Mujhe payment failed ka message mila.,payment_failed,payment_failed,16.07,True
Product ki dimensions batao.,product_information,product_information,35.96,True
parcel missing.,order_not_received,missing_package,10.21,False
System account blocked dikha raha hai.,account_locked,account_locked,58.94,True
showroom location.,store_location,store_location,23.32,True
I want to withdraw my order.,cancel_order,cancel_order,8.04,True
Mujhe refund status batao.,refund_status,refund_status,41.39,True
One product was not included.,missing_package,damaged_package,7.5,False
Konsa laptop lena chahiye?,product_recommendation,product_information,22.52,False
Can you exchange mera order?,exchange_order,exchange_order,14.27,True
Payment reject ho gaya.,payment_failed,payment_failed,15.2,True
Good evening Vani.,general_query,general_query,19.33,True
Was my order placed successfully?,order_confirmation,order_status,33.25,False
I want to verify my identity.,account_verification,account_verification,21.64,True
Please check my promo code.,promo_code_issue,promo_code_issue,18.52,True
Can you provide the delivery person's number?,delivery_agent_contact,delivery_agent_contact,16.32,True
Wallet credits dikhao.,wallet_balance,wallet_balance,59.35,True
Return order number 12345.,return_order,return_order,18.59,True
Delivery timing badal do.,change_delivery_slot,reschedule_delivery,34.43,False
Can you send mera invoice?,invoice_request,invoice_request,34.09,True
My login failed.,login_issue,login_issue,35.07,True
order missing.,order_not_received,order_not_received,8.58,True
I'm facing a technical issue.,technical_support,technical_support,11.27,True
My account is restricted.,account_locked,account_locked,45.41,True
Mujhe refund ke liye return karna hai.,return_order,refund_request,45.09,False
Can you deliver it in the evening?,change_delivery_slot,reschedule_delivery,30.35,False
Sign in issue aa raha hai.,login_issue,login_issue,18.22,True
Order cancel karna hai.,cancel_order,cancel_order,27.98,True
