text,intent
Order delivery update chahiye.,order_status
The box was missing one product.,missing_package
I don't want this order anymore.,cancel_order
Track my courier.,track_shipment
Mera login verify karo.,login_issue
My account has been suspended.,account_locked
cashback status.,cashback_query
Security ki wajah se account lock ho gaya.,account_locked
Product mein manufacturing defect hai.,warranty_claim
Account dobara activate kar do.,reactivate_account
morning delivery.,change_delivery_slot
Can you help me please?,general_query
I didn't receive the verification code.,account_verification
I need confirmation for my order.,order_confirmation
Expected delivery date nikal gayi hai.,delivery_delay
Help me exchange my purchase.,exchange_order
Agent se connect karo.,delivery_agent_contact
Delivery reschedule kar do.,reschedule_delivery
Can you help me?,general_query
Galat address dal diya tha.,update_address
Mera order samay par nahi pahucha.,delivery_delay
Delivery agent se baat karwa do.,delivery_agent_contact
Card se payment nahi hua.,payment_failed
What can you do?,general_query
received wrong order.,wrong_delivery
Mera package kis jagah hai?,track_shipment
Credit card use karna hai.,payment_method_change
Delete my account and personal information.,delete_account
Ye galat saman hai.,wrong_delivery
Profile ko dobara active karo.,reactivate_account
My order wasn't placed because the payment failed.,payment_failed
Mere recent orders batao.,order_history
Verification link expire ho gaya.,account_verification
Delivery ki latest information do.,delivery_status
Mera order return karna hai.,return_order
Naya email register karo.,change_email
Ek item nahi aaya.,missing_package
Order return ka process batao.,return_order
Is TV ke features batao.,product_information
Identity verify karni hai.,account_verification
Invoice PDF chahiye.,invoice_request
change payment method.,payment_method_change
Office ke liye chair recommend kijiye.,product_recommendation
Meri delivery postpone kar dijiye.,reschedule_delivery
I don't want this account anymore.,delete_account
Mera order missing hai.,order_not_received
Check my refund status.,refund_status
wrong item received.,wrong_delivery
update email.,change_email
Suggest a good office chair.,product_recommendation
Show complete product information.,product_information
Galat color mila hai.,exchange_order
Product ki size kya hai?,product_information
My account was debited twice.,duplicate_payment
List my previous purchases.,order_history
Password reset kar do.,reset_password
Refund details dikhao.,refund_status
Reorder my previous purchase.,reorder_product
App loading screen par atak gayi hai.,technical_support
